BV12f4y1j7P5 嗨~B站小伙伴，东部战区正式入驻！
BV1Du411d7Y6 欧洲议会议员：美国霸权时代早已结束
BV1xh411n74c 美边境巡逻官骑马挥鞭驱逐移民引众怒：做法不美国！
BV1k34y1o7MA 印度女作家夸本国一座城市堪比上海……
BV1WR4y1s7pp 英媒曝光英军航母舰载机坠海瞬间：滑跃起飞失败一头扎海里
BV1C44y1b7SV 令人作呕！印度工人用脚触摸面包干并在封装前反复舔舐
BV1sf4y1n7aw 忘记名字了？拜登称莫里森：那个在澳大利亚的家伙
BV1eb4y1a7hk 史上首次！俄罗斯在国际空间站拍摄太空电影
BV1nP4y1V7eG 英德意发现新变种确诊病例，英首相：入境就隔离
BV1cL41187Fj 俄防长：多亏了美国，现在塔利班装备比乌克兰军队还好
BV1tv411g7sP 美国男子在树上与警方对峙近3天
BV18g411c7Xx 【卢克文工作室】苏联帝国灭亡史-戈尔巴乔夫卷（三）：疗养院偶遇安德罗波夫，戈尔巴乔夫从此平步青云
BV11v411u7fq 美国发放第一本X性别护照，预计明年将发更多
BV1hQ4y1z7jV 美国遣返海地移民现场大乱：个人物品被扔出飞机
BV1wb4y187mZ 俄白签署落实联盟国家一体化法令
BV1VS4y1R7zc 眼看妈妈被抢，美9岁女孩暴打劫匪将其击退，被警方表彰
BV1r3411k7iH 阿富汗“出口黄金”来了！塔利班政权对华出口的第一种货物抵上海
BV1cf4y1M77M 中美元首视频会晤后，澳贸易部长称正寻求和中国进行建设性接触
BV15T4y197jb 美国国安顾问：美国不再寻求改变中国，而是寻找共存之道
BV163411k7Yi 日本东京“小丑”地铁纵火伤人事件后，新宿站地铁展开防暴演习
BV1q3411k7FW 巴西球赛进行时被枪声打断，球员躲在看台下保命
BV1tT4y1d7jy 中国空间站不可以用中文？美国再次无理取闹，扬言不达要求不合作
BV1g64y1a7tz 阿富汗瘾君子街头被鞭抽泼冷水，塔利班士兵放话“再吸崩了你”
BV1sY411s71A 巴巴多斯正式取消英女王元首地位，改制共和国
BV1cF411Y7mh 近期国际经济形势分析与中美关系思考（10月28日海口演讲）
BV1bh411J7B4 美一架飞机起飞时撞鸟致引擎起火，乘客惊恐尖叫
BV1YP4y1b758 佩洛西拒绝提特朗普的名字：“那个谁”当总统的时候……
BV18F41187wf 日首相岸田文雄：日本禁止所有外国旅客入境
BV17f4y1T7tw 中国老百姓：“要不要囤货？”美国消费者：我要囤的货在哪儿？
BV1244y1x7yX 特朗普已成功减肥20斤这诀窍你也能把握住！
BV1sq4y1G7bK 外媒：以色列军队推平墓地建公园巴勒斯坦母亲趴儿子坟上保护
BV1w64y187Fd 当了16年总理的默克尔要走了德国老百姓有话想对“默大妈”说
BV1FL41137tB 司马南：活该！澳大利亚被英美耍了，20年之后交付半条潜艇
BV1h34y1Z7SA 被告当庭崩溃大哭，法官手机响……美17岁少年开枪杀人案开庭现场状况不断
BV1934y1S7Yf 【卢克文工作室】苏联帝国灭亡史-戈尔巴乔夫卷（二）：三十五岁身居高位，戈尔巴乔夫也曾是苏联政坛一颗闪耀的红星
BV1pT4y1f7cX “脸书吹哨人”在美国会作证：脸书产品危害儿童、煽动分裂、削弱民主
BV19g411P7KA COP26气候协定达成前，印度出面改了一个词
BV1g44y1i7HV 就在“中国隐形舰载机首飞”的当天，美媒发布了一张照片
BV14Q4y1a7Aq 塔利班释放俘虏并现场发钱，每人5000阿富汗尼
BV1744y147dX 英国一记者采访时被火鸡啄屁股叫出声火鸡群跟着发出“笑声”
BV1Zg411A7JW 武契奇视察中企承建项目开工仪式，用中文与工人打招呼
BV1nL4y167PE 司马南：罗杰斯危机预言之一，最严重的大衰退即将来临
BV1UF411a7QM 现场！阿富汗45吨松子抵达上海出发前阿方在机场举行剪彩仪式
BV1w44y187jD 打断约翰逊讲话还赶走在场记者，白宫回应了
BV1Qg411P7jf 英国大妈超市抢购打折食品，甚至大打出手
BV1Z64y1b7xA 有史以来最糟得票率！默克尔所属政党选举遭遇大挫败
BV1NL4y1z7bY 慎点！日本冲绳大量鱼类死亡鱼腹塞满火山浮石
BV1BR4y1J7Ut 独家！CGTN报道员坐上了塔利班的车……
BV1vf4y1E75A 阿塔官员：将恢复执行处决等刑罚
BV1Ah411873z 面对两任美国总统意大利语女翻译有两幅面孔
BV1BM4y137Zg 2021珠海航展：记者体验5.8毫米短自动步枪，真帅！
BV1eg411K7Jd 被问如何提高产量抑制油价，美能源部长：哈哈哈哈，我又不会魔法
BV1fb4y1h7Nt 司马南：俄支持中国武统台湾，这个分析靠不靠得住？
BV1CL411u7UZ 伊朗国脚集体控诉伊朗足协不作为：我们亚洲第一，却没装备没奖金
BV1kP4y1V7He 白俄总统指控立陶宛谋杀难民抛尸边境，立方否认
BV1wS4y1X7Ny 当了几小时瑞典首相后辞职，然后她又被提名了…
BV1or4y127Be 拆东墙补西墙？英国“卡车司机荒”波及公交行业
BV1WR4y1s7Tj 明星扎堆推广的“素食主义”，真的更健康？【差点信了】
BV1w34y1m7rK 美国一男子坐过站想跳窗，还对阻拦者吐唾沫
BV1uL4y1z7Su 日本日立被曝质检造假超30年问题产品或流入中国
BV1Wv411g7w7 16岁女孩担任一天芬兰总统
BV1oL411W7r9 俄航班遭遇雷击下坠数十米后紧急迫降
BV1ov411M7J6 司马南：韩国每公斤牛肉1090元，世界菜篮子价格涨疯了
BV1WR4y1t7Et 中方内部报告透露：与美国人闭门会谈两年，美国人就是不通情理
BV1Dh411p79S 司马南：法国替中国出气，是什么道理？
BV1b64y1Y7Cx 阿富汗塔利班将邀请中俄等国参加新政府成立仪式
BV1ch411n7Yc 英首相雕像被环保人士泼石油，本人正在西班牙度假……
BV1c34y1U7U6 范勇鹏：新冠疫情下美国纠错机制失灵？古希腊历史是不是伪史？【直播回放】
BV1vQ4y1X7nU 恐怖！日本北海道9成海胆死亡空壳遍布海滩
BV1Tb4y187W6 开始谈了，见面没碰肘直击中美罗马会晤
BV1xq4y157W6 普京宣布俄罗斯全国放假9天抗疫
BV1GL4y1p7wJ 澳总理也来求中澳高层对话：非常欢迎，无论何时都行
BV1gu411f7PN 特朗普批评媒体对鲍威尔报道太正面：希望我将来也能获此待遇
BV1wr4y1C7SC 伊朗公布从美国“虎口夺油”惊险一幕，五角大楼回应
BV1FL4y1B7c3 美国气候示威者白宫外抗议，“拜登，我们来敲你门了！”
BV1dL4y187ze 英国民众为加油大打出手，数千加油站无油可加
BV1DL41147Vo 德尔塔在美国“杀疯了”，多地ICU近乎饱和氧气告急
BV1nP4y1j7z1 这也行？澳防长让法国把受伤感情放一边，专注应对中国
BV1hf4y1w7CC 丹麦今年又杀了1400多头海豚西方动保组织人呢？
BV1GQ4y1y7Zp 澳前总理不戴口罩被罚500澳元，反咬举报者不该打小报告
BV1jS4y197vs 司马南：内部研究报告透露，中国给美国出了一个主意
BV1MU4y1g7jx 俄罗斯与白俄签署落实联盟国家一体化法令：将共同维护历史精神价值
BV1X3411177Z 担心特朗普对中国开战，美军最高将领曾两次秘密致电中国军方
BV1mF411h7qk 美国运钞车高速路上掉钱满地现金， 众人纷纷停车捡钱，有人边跳边叫，现场混乱
BV17F41187gW 办反歧视集会被恶意骚扰，伦敦华人怒揍“港独”
BV1QU4y1u74D 美议员：在人类出现以前就有碳排放了，这叫大自然
BV1gh411t7KX 马克龙为默克尔举行欢送仪式：感谢你为欧洲所做的一切
BV14q4y1g7T3 拜登称美国人比疫情前更有钱：同时也面临物价上涨和供应链的“严重的挑战”
BV1kv41137RY 马来西亚斗鸡比赛发生严重意外：斗鸡转身将“鸡刀”刺中主人，主人最终失血过多死亡
BV1ih41187VR 阿富汗塔利班掌权后，首次恢复对华出口通道，官员统一穿皮鞋到机场送机
BV1Pb4y187ki 西班牙火山爆发，熔岩流酷似火凤凰
BV1kQ4y1S7Dv 美一卡车司机或将成为新任州议员，击败政坛大咖只花了153美元
BV1FL4y1q7PJ 气候峰会上穷国喊话富国：“不如直接炸了我们！”
BV1jQ4y1e7KP 【每日读报】土耳其一波神操作，美国反被割了韭菜
BV1bR4y1J7B6 警惕！印军边防部队定制一批“海王闪电三叉戟”，这是要干啥？
BV1ki4y1o7Dv 国际乒联：一旦再发现类似言行，将立即把闹事者清除出场
BV1J44y1Y7v7 美国一家服装店遭30多人洗劫，已是本月第二次
BV1nU4y1g7yc 莫迪宣布印度2070年将实现净零排放印媒称承诺“重大”
BV1g34y1Q7U8 阿富汗妇女街头抗议，要求塔利班新内阁中有女性参与
BV1AR4y1H7cu 约翰逊誓言打造“高工资、高技能”的英国，被批“经济文盲”
BV16u411f7Hk 【专访】为中国发声后遭诽谤网暴，德国女孩起诉西媒巨头
BV1kh411s7aS 超10国确诊奥密克戎新冠变异株，福奇：如果进入美国我也不惊讶
BV1Qh411H7Hw 掌掴马克龙男子入狱数月后获释无悔意：重新来过，还会做同样的事
BV1Gb4y1878V 马斯克吟了一首七步诗，全世界网友都懵逼了
BV1xq4y1T72X 罗马教皇谴责美国在阿20年，还错误引用了普京的一段话
BV1Cf4y1E7WX 从“东德女孩”到“欧洲女王”，默克尔为何能执掌德国16年？
BV1og411V7Kj 只因为中国说句公道话，他们被人肉网暴造谣封杀
BV1Mv411w7Qi 悲催！被中国空军活活累死的日本航空自卫队
BV1xq4y137DC 日本列车“小丑”模仿犯？男子当街持刀晃荡女子惊恐奔逃
BV1Vb4y1U7xd 英前首相：我们这代领导人天真了
BV1tr4y1y7ar 塔利班突袭吸毒窝点：手持步枪连拖带抱，剃光头送进千人戒毒所
BV1fq4y1Z7wQ 解谜了？这才是美国阿富汗战争的终极目标
BV1SR4y1t7U1 德卫生部长严厉警告：到冬天结束，德国人要么打了疫苗、要么康复、要么死
BV1L34y1m7gD 拜登：不想与中国冷战美国会保卫台湾
BV1wq4y1k7sg 为何有些印度人，这么仇视中国？
BV1dq4y1g7X7 澳大利亚男子打劫加油站女店员一句话“搞定”他
BV1VP4y137nR 【卢克说】谁来统治中东？
BV1YP4y1L7bR 卸任前夕，默克尔亲口向记者解释了为什么她几乎每年都出访中国
BV1n64y1h7Zx 拜登威胁共和党籍州长：不配合抗疫就把你赶走
BV19P4y157An 中美元首会晤是否达到预期效果?外交部回应：“会晤谈得非常实、非常深入，坦诚而富有建设性”
BV1Nv411g7Tv 10月5日，法国多个工会和青年组织举行全国性罢工、示威游行，要求提高工资
BV14q4y1G76t 日本医院误将厕所用水当饮用水近30年
BV1VL411377a 莫里森回应马克龙：不能代表澳大利亚人接受污蔑，澳网友笑了
BV1HQ4y1r7Xr 现场搜出500公斤毒品！杜特尔特一声令下，4名中国公民在菲被击毙
BV1uf4y137zq 【卢克文工作室】黑凤凰：小萨勒曼传（四）沙特高福利的真相，两次废黜小萨勒曼成无冕之王
BV1HM4y1g7wc “出逃前一晚，阿富汗前总统还说会战斗到死”
BV1jL411x78T 特朗普任命的18名官员被要求辞职：需与本届政府价值观一致
BV1d3411r714 超勇土耳其：我要进“五常”，我要打十个！
BV1QL411W7sw 北约给了武契奇一纸文件：答应上面所有条件就“撤军”
BV1iL411t7sc 全程回顾：朝鲜建国73周年阅兵
BV1z34y1U7ZW 日本将用芯片赌“国运”！
BV1mf4y1j7MB 司马南：台积电、三星、英特尔开了个会，美国又宣布吓人的决定
BV1bY411s7De 拜登呼吁美国人不要因新变种恐慌，暂时不会实施新的封锁
BV1uT4y1R7re 比赛输给伊朗女足后约旦女足：给伊朗球员做性别鉴定！
BV1fL411W7eo 华裔美军高喊“别开枪，我是中国人！”诱杀志愿军
BV1ST4y1d7Fa 全球首家！沙特计划将海上钻井平台改造成乐园
BV1Jq4y1g77X 高能慎点！印度男子宣扬吃牛粪喝牛尿好处多，并当场吃了起来……
BV1Cg411F72i 以色列对加沙发动报复性空袭
BV1PP4y1V7ui 立陶宛将难民关在集装箱赵立坚：那是人不是沙丁鱼罐头！
BV1yf4y1j7zb 特朗普粉丝有多反智？戴着“PRC”的帽子反中国，遭怼脸嘲讽不自知
BV1LQ4y1Q7Rc 我被BBC点名了充满谣言偏见当然理解不了自干五
BV1sf4y1g7DR 【卢克文工作室】苏联帝国灭亡史-里根卷（一）：从好莱坞明星到美国总统，里根的进阶之路真的顺风顺水？
BV1264y1Y7tN 中国再一次出手，境内所有与立陶宛有关的文化活动全部告停
BV1zR4y1p7De 拜登接种新冠疫苗加强针称没打疫苗的人严重损害美国
BV1uu411f7cM 北京冬奥会火种在希腊古奥林匹亚采集成功
BV1Gq4y1R7je 叙利亚人民用油漆喷出“Thank you China”
BV1of4y1F7LT “铁娘子”也幽默默克尔16年执政“名场面”
BV1t3411b7sB 南非发现新型新冠病毒变异株或危及疫苗效果
BV1Mq4y1S7Ni 小布什为发动阿富汗战争辩护：我对我的决定感到满意
BV1q44y187dC 塔利班称新政府高层人员或无女性
BV1c64y1a71e 连澳大利亚都开始羞辱法国了……
BV1DQ4y1D7mB 普京：中国大陆不必动武就能实现国家统一
BV1Vf4y1M7Du 【卢克文工作室】魔鬼的棋子（三）：美国一举捧红扎卡维，在伊拉克犯大错祸乱中东
BV1FQ4y1B7R6 美媒称拜登计划赔偿失散的非法移民家庭，拜登斥责：这是垃圾报道
BV1Av411A77k 西班牙举办最丑番茄奖个个千奇百怪
BV1Ab4y1B7Z1 【每日读报】美国闹着抛售石油储备，背后博弈耐人寻味
BV1Qu411o7U4 俄罗斯人的庆祝活动！俄罗斯女子手持AKM朝天连射一梭子子弹
BV1RR4y1E7Fy 巴西一对年轻夫妻毒品窝点前被当街枪杀，10个月大婴儿坐父母血泊中大哭
BV1LP4y157LG 印度牛粪又有新“妙用”了：提振国家经济
BV1Fq4y1K7WZ 紧急灭火？布林肯：法国是印太地区的关键盟友
BV1DM4y1A7jt 俄罗斯警方突袭毒贩窝点：特种部队翻墙而入，屋内还有种植大麻的温室
BV1mQ4y1S7vM 美国国务卿布林肯离场，谈了约50分钟直击中美罗马会晤
BV1E34y1m7xs 澳大利亚降下直径16厘米巨型冰雹，创下该国记录
BV1qQ4y1y7NF “美企员工必须打疫苗，移民就不用？”“没错，下一个问题”
BV1RS4y197xy 白宫发言人：拜登计划2024年再次竞选美国总统
BV1ML4y187WX 美国一动物园6只狮子3只老虎或新冠阳性
BV1kq4y1P7rH 法国找回了十分之一面子还是欧洲兄弟给力
BV13R4y1J7if 美国前总统克林顿被送进ICU，发言人：正在恢复中
BV1cu411Z7yE 美国军舰偷油并与伊朗军舰对峙现场视频（完整版）
BV1wb4y127Ec 阿富汗难民抱怨自己吃不饱美国网民说他不知感恩
BV1nf4y1J7qy 美军抽了美军一嘴巴子！
BV1Xg411c7Ly 俄罗斯男子为增肌双臂注射6公斤凡士林现面临生命危险
BV1ff4y1j7S2 司马南：中国南海美核潜艇遭遇不测，不明物体是个什么东西？
BV1QS4y1d7WK “股神”巴菲特被骗3.4亿美元
BV19A411F7ro 伊朗燃油运抵黎巴嫩民众发射火箭弹庆祝
BV17q4y1z7TL 世乒赛现场中国选手遭遇白人种族歧视，国际乒联赛后发声
BV1Jq4y1Z7YN 一周趣闻：球员摔倒后现场“补充能量” 无人机送货遭遇“空中打击”
BV1oh411J7RG 荷兰首相称王位继承人有权与同性结婚
BV1qq4y1f7np 美军承认误炸10平民五角大楼道歉
BV1Vb4y1U7uG 【九边】美国养蛊往事，本拉登和美国的爱恨情仇。
BV1AQ4y1S7sB 个别丹麦人在中国使馆门前悬挂反华海报，中方：强烈愤慨
BV19v411T7wg 塞尔维亚总统接种第三剂新冠疫苗，还是中国制造
BV1Yi4y1o7gn 韩国已故前总统卢泰愚将葬于朝韩边境
BV1cL411u7Ew 外星人在打仗？中国天眼窥探到宇宙秘密，47天发生1652次爆炸
BV1w44y1t7tx 日本刚刚选出的新首相，将会很好地完成美国的任务
BV12Q4y1C7vA 单亲妈妈有3套房却住车里？2分钟看懂：美国政府如何“逼死”中产
BV1rf4y1T7j3 普京称波白边境难民危机根源在西方，与俄罗斯无关
BV1xv411P7my 白宫：41个在阿澳大利亚士兵没白死
BV1Pq4y1N7XH 美国举行660场游行抗议堕胎法案：我的身体我做主
BV1HL4y187MX 因为疫情，泰国数百辆出租车顶变微型菜地
BV1pL4y1872v 默克尔究竟有多少件不同颜色的西装？
BV1RM4y1g7Mp 俄外长喊话“乌克兰朋友”：别总向西方乞讨
BV1zb4y187ks 印度一村庄沿袭百年传统节日，村民互掷牛粪狂欢
BV1xM4y1g7au 苏格兰或将进行第二次独立公投
BV1hR4y1t7Ki 美国国安顾问：我们是印太常驻大国，哪都不会去
BV1w44y1b7w3 刘中民：塔利班新政府如何治理？先要“摸清家底”
BV1VU4y1M78f 再现“0元购”！美国一家超市门口，几人将未付款的货物装满两辆车后扬长而去，中途无人敢阻拦
BV1ZP4y1h7dy 英环保主义者冲入高速逼停车辆，要政府减排
BV1nL411t7qQ 阿富汗塔利班举行美械阅兵式有点秀
BV1134y1Q7tS 拉登生前接受CNN采访狂骂美国搞“双标”
BV1Cy4y1G7sZ 印有“中国载人航天”物体冲上日本沙滩，两周前曾被发现卡在礁石上
BV1744y1e7s2 英国曝特大恋尸癖案：医院电工奸杀两名女子，性侵近百具女尸
BV1GA411F728 国产海报审美标杆，这些海报都出自他手
BV1F34y1m7Jc 西部战区凌晨强硬发声，专家：印方挑衅是什么后果，网上印军被俘照片讲得很明白
BV13f4y1K7rw 美药企冷柜惊现“天花病毒”冷冻瓶，美疾控中心证实
BV1SP4y1p7vb 不作死不会死！美国反疫苗反口罩领袖得新冠死了
BV1RA411F77T 王毅与俄罗斯外长碰肘打招呼，拉夫罗夫开玩笑：下次可以改成碰膝盖
BV1uq4y1f71D 普京送别俄紧急情况部长额头紧贴灵柩十多秒
BV1QF411b7oo 印度男子造迷你泰姬陵送妻子：爱的象征
BV1wL411g7Mz 又一名中国留学生被害，芝加哥的治安有多糟？【观察者头条】
BV1uf4y137Zx 加拿大人露天蹦迪抗议防疫禁令，质疑禁令“歧视夜生活爱好者”
BV17L4y1q7ed 司马南：Soga，日本确诊奇迹般锐减！新冠病毒骚操作令人费解
BV1CR4y1t725 中国留学生芝大校园抗议枪支暴力：我们是来这学习，不是来送死
BV16r4y1Q7Zs 南非总统称旅行禁令缺乏科学依据：“我们深感失望”
BV15q4y1o7AX 美国“太空游”富豪回到地球发现全家感染
BV1KQ4y1S77t Facebook不要“脸了”，改名能拯救同时得罪中美的扎克伯格？
BV1Rg411F7Pk 长棍加铁拳，法国反疫苗游行变“群殴”
BV1WR4y1H7rA 【卢克文工作室】苏联帝国灭亡史-里根卷（三）：里根联手戈尔巴乔夫，开启摧毁苏联之路
BV12U4y1P7aQ “中国国歌在东京每天播放10次”
BV1yM4y1A7DE 美国青年枪杀两人被判无罪拜登表示“愤怒”
BV1bL4y1a7LD 白宫：美国不寻求与中国冷战
BV1x44y1i74U 美政客呼吁老年政府官员接受认知测试：我们有很多官员都老了
BV1Rq4y1N7gG 巴西拒收中国疫苗，高价购买印度疫苗。巴西最高法院批准对总统展开调查
BV1pg411V7xJ 纽约遭创纪录暴雨侵袭，约5300户断电
BV1gR4y1J7AB 日本国会众议院宣布解散在场议员高喊3声“万岁”
BV1mr4y127id 韩国渔船意外捕获一条鲸鱼售价1亿韩元
BV1uT4y1o7C5 韩媒点评朝鲜导弹：这边是打我们的那边是打美日的
BV1b3411b7xH 人类首次行星防御测试，NASA发射航天器尝试撞击小行星
BV1nq4y1d7NP 一年超4.3万人因枪支暴力死亡，美国为何不禁枪？
BV1Cv411M7yy 海底火山喷发形成小岛日本兴奋不已又要圈海？
BV1ZU4y1F7Dz 比美国还要狂？法媒称要阻止中国统一，不惜打一场第三次世界大战
BV1KL4y1i7Mq 英军紧急打捞坠毁F-35B 怕被俄罗斯抢捞
BV17f4y1A7Cs 洪水数月不退，印度老师开“船上课堂”免费为孩子授课
BV1pu411Z7QH 历经战火！这座“中国医院”在阿富汗开了半个世纪
BV1SY411x7T3 基辛格：中美元首视频会晤是避免冲突的良好开端
BV1hb4y1B7U9 捷克总统因确诊新冠隔着玻璃任命新总理
BV1vL4y1q7Mw 俄媒惊叹：“几秒钟就在中国赚了400万”
BV1Jq4y1T7tj 为了给华盛顿“擦屁股”，美媒拼命开脑洞：中国唐朝入侵过阿富汗
BV1sq4y1k7Bn 联合国粮食署公布66亿美元解决饥荒计划
BV1tf4y1g7AE 克林顿出院，并对人群竖起了大拇指
BV1Sq4y1u7nS 英国警察持枪突袭搞错地址房主：他们像抓本·拉登一样对待我
BV1DL4y1874C 法国总统马克龙参加活动时被扔鸡蛋，保镖紧急伸手掩护
BV1xP4y1h7NF “中国受穷，西方才安稳？”西方打压中国的根本原因
BV1W44y1e7nS 伊拉克总理府邸遭无人机袭击，美国表态：强烈谴责恐怖主义行为
BV1of4y1F7nw 菲律宾总统杜特尔特宣布退出政坛
BV1KR4y1H7rw 岸田文雄就任日本首相新设官职应对美中
BV1rL411T7CQ 拜登对华“芯片战争”扳机已经扣响？
BV18v411w7Jd 土耳其欲携中亚五国成立“突厥国家联盟”，俄罗斯表示反对
BV1jR4y1E7ff 现场画面曝光塔利班副国防部长遭枪杀
BV1gL411t7yj 男记者提问关于拜登支持堕胎权利问题白宫发言人回应
BV1f341187dG 美国副总统被白宫“边缘化”了？
BV1XL4y1q7qk 日本福岛民众：不敢吃鱼谁知道辐射到什么程度
BV1k64y1a7K3 坦克两项半决赛，中国车组打出24靶23中的全场最佳成绩
BV1AF411Y7Vt 罕见！普京与美国中情局长通话
BV1j341187DP 【每日读报】欧盟再面临难民危机，卢卡申科一手好棋？
BV11M4y1g78g 俄罗斯一大学枪击案已致8人死亡学生教师跳窗逃生枪手疑系该校学生
BV1c34y1D76a 巴尔干之虎，武契奇的军团
BV1mR4y1E7nA 司马南：印共游击队用上了无人机，莫迪形式主义“剿匪”实难奏效
BV1vb4y127cx 擦身而过被告知应说声“对不起”，美国男子一脚将后面的女子踹下电梯
BV1yL411G7k9 英首相为拉投资，搬出小猪佩奇和阿黛尔
BV1br4y1y7RY 拜登外出就餐未戴口罩违规，白宫发言人：勿过度关注
BV1zM4y1G7R1 联合国呼吁国际社会紧急援助阿富汗：是我们欠他们的
BV1L34y1Q7nG 俄罗斯干了什么，让日本网友气急败坏喊话普京：还我们的秋田犬！
BV15g411T754 一周趣闻：“日本武士”VS“美国枪手” 法国老兵总统府外倒立
BV1Mr4y1Q7hp 一周趣闻：虚拟土地卖出高价印度土豪下“钱雨”追星
BV1G44y1Y7Z7 快讯！韩媒：韩国前总统全斗焕去世
BV1Q64y187KH “忍者”夜袭美军特种部队，致两名士兵受伤
BV1Gb4y1U75Y “塔利班不让美国人包机离境，直到美国承认新政府”
BV13L41137fz 俄罗斯电影女明星面带微笑，在普京办公区外拍不雅照，声称很爱国
BV1Br4y127Ki 金正恩与最先进武器合影朝鲜“东风-17”首次曝光
BV1rh41147tt 美国华人司机家门口遇三名黑人劫持后开枪反杀，致劫匪1死1重伤1逃跑
BV1JF41187t5 美国人饱受通胀之苦拜登花了纳税人13.9万美元买了棵普通圣诞树…
BV1f34y1Q7cj 日本商家推出“油炸昆虫”自动售货机，12款在售
BV1JQ4y1C7N1 一批中国政府援助阿富汗的物资抵达喀布尔
BV1o34y1o7fP 死海或将消失周围已是“鬼城”
BV1x3411k77B 5000名纽约市政工人上街抗议，反对疫苗强制令
BV1eU4y1A7Rx 土总统：希望美国能离开叙伊，就像撤离阿富汗一样
BV1ag411N7z1 维也纳一风俗场所变疫苗接种点，打疫苗可享免费服务
BV1wQ4y1C7gi 巴西两男子试图劫持直升机去劫狱，飞行员模拟坠落逼走匪徒
BV1uL4y167ZD 美国“小鹰”号航母1美分就卖了
BV1SU4y1A7tZ 西班牙小镇水面上惊现“溺水女孩的脸”！雕塑会随潮水反复出现和消失
BV1E34y1o7Vu 美官员警告：ISIS-K可能在半年内具备袭击美国的能力
BV1gr4y1C7uK 美国一新冠死者尸体在付费观众前被解剖，家属毫不知情
BV1pf4y1A7XT 几内亚突发政变，对中国有多大影响？
BV1PT4y1Z7pd 【每日读报】背锅侠鲍威尔去世美国加速走向分裂
BV1uq4y1G79Y 越南工人跪求逃离城市跨国企业转向中国
BV1zq4y1K7ez 美军方声称喀布尔机场留下的装备都是不能用的
BV1vb4y1B7Wb 自作多情！美西方政客鼓吹抵制北京冬奥会但中国并没邀请他们啊…
BV1UP4y1a7wo 日本首相菅义伟：不参加自民党总裁选举
BV1pf4y1g7th 【卢克文工作室】苏联帝国灭亡史-里根卷（二）：选举配角变主角，里根如何成为最受欢迎的总统？
BV1D3411i7As 美国最高法院门楣为何有孔子像？
BV1nA411F7uX 禁止堕胎法案是如何引爆美国分裂情绪的？
BV17R4y1H7zx 现任“超长待机”的各国领导人有哪些？
BV1aU4y1w7bv 日本初中生美少女大赛夺冠网友：神似“千年一遇美少女”
BV1K44y1472W 50名意大利空姐在市中心集体脱衣抗议大规模裁员和降薪
BV1Kq4y1G7G2 美国人抢走CT机？阿富汗坎大哈“中国医院”坚持救人每月做千台手术
BV1fb4y1t7ow 希腊民众美国使领馆前抗议点燃美国国旗
BV1aF411e7S7 美多所学校万圣节禁止穿《鱿鱼游戏》服装
BV1xU4y1A71m CNN主持人称韩国属于与中国对立阵营韩外长反驳：这是冷战思维
BV1nL41147T3 法国否认将放弃安理会常任理事国席位
BV1Vf4y1A7Zf 阿富汗塔利班邀请中国等5国参加新政府成立仪式，印度再次被排除
BV1Fv411u7Yh 那些年，韩国放了空炮的火箭
BV1Bw411f71b 没有人比中俄更希望美国留在阿富汗？外交部回应
BV1Fg411K7Vo 台军军粮漂到日本还被捡起吃了
BV1sq4y1f7dN 文在寅讲话4小时后金与正回呛“朝韩关系恐将彻底破灭”
BV1BQ4y1Q7x5 慎点！西班牙恐怖雕塑画风诡异
BV1qw411f7KB 英国音乐节结束后垃圾遍地其中包括新冠检测阳性试纸
BV1Gf4y1w7V3 对抗中国？美英澳组新联盟“AUKUS”，助澳建核动力潜艇舰队
BV1Uq4y1372R 劫杀芝加哥大学中国留学生嫌犯落网：18岁黑人，被控一级谋杀
BV1WF411Y71E 韩国腌20棵泡菜成本近2000元韩主妇们愁眉不展！
BV1NL4y1i7NB 碎片四散！台媒曝光4男子上月拿球棒砸毁奔驰车视频：有人跳上车顶敲了十多下
BV1Gf4y1u7rN 三星长公主贷款1000亿韩元缴遗产税，计划3个月还清，其父遗产遗产高达26万亿韩元
BV1Tb4y187Uh 韩国统一部：金正恩已确保稳定政治地位
BV1tb4y1h7vd 刷爆全网的表情包爷爷竟是“英国版郑渊洁”
BV1WM4y1G7S7 第八周了！法国警察暴力逮捕抗议者引争议
BV1eq4y1K7j1 司马南：美国正在步前苏联后尘，普京给美国头上安了一个新词儿
BV1Bv411P7UL 最新公开！美国夫妇记录“911”事件现场：我看到有人从楼上掉下
BV1Vg411c777 独家还原爆炸现场：阿富汗人质问美国这算什么援助？
BV1vu411o7QA 美国一市长谈论枪支暴力时被枪声打断
BV1gh411s7sb 悲剧！印度五人同一地点接连触电身亡
BV1Nr4y1Q7oU 联合国传来坏消息！多国要求取消一票否决权，俄罗斯紧急表态
BV1xF411a7Q3 36岁华裔女性当选波士顿市长，原来是“背后有贵人”
BV1dQ4y1r7QD 日本疫情已达“灾难级别”，多名患者被医院拒收惨死家中
BV1EL4y1q7bb 日本一男子在东京都城铁车厢内持刀纵火，乘客从车窗跳车逃离
BV1uf4y1E7QQ 当场被叫走！美国主持人采访哈里斯前得知感染新冠
BV1gF4118757 韩国50万年轻人“隐居”
BV15S4y1R71C 澳大利亚老找中国麻烦的真实原因，她说出来了，而且句句高能！
BV1aq4y197Bx 美国乡村电信商“吐槽”被迫弃用华为设备：缺证据、缺动机、缺资源
BV1tT4y1o7qs 挪威男子当街拉弓箭射人，已杀5人，下场：豪华监狱内听歌打游戏
